ML Model Name,Accuracy,AUC,Precision,Recall,F1,MCC
Logistic Regression,0.956140350877193,0.9970238095238094,1.0,0.8809523809523809,0.9367088607594937,0.907605465436683
Decision Tree,0.8947368421052632,0.8544973544973544,0.8947368421052632,0.8095238095238095,0.85,0.7715167498104596
kNN,0.9385964912280702,0.9907407407407407,0.972972972972973,0.8571428571428571,0.9113924050632911,0.8687664928166448
Naive Bayes,0.9035087719298246,0.9854497354497355,0.918918918918919,0.8095238095238095,0.8607594936708861,0.7910885475765683
Random Forest (Ensemble),0.9649122807017544,0.9955357142857143,0.975,0.9285714285714286,0.9512195121951219,0.9245181185940877
